PIN,Major,Academic.Interest.1,Academic.Interest.2
N389115421224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N390115410224,DDP LAW,Philosophy,Global Affairs
N391115408224,ECONOMICS,Economics,"Mathematical, Computational and Statistical Sciences"
N392115405224,URBAN STUDIES,Economics,Undecided
N393115401224,PHILOSOPHY,Global Affairs,Anthropology
N394115402224,ENVIRONMENTAL STUDIES,Environmental Studies,Undecided
N395115425224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N396115424224,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Economics
N397115423224,"PHILOSOPHY, POLITICS AND ECONOMICS",Psychology,Life Sciences
N398115421224,DDP LAW,Arts & Humanities,History
N399115418224,LIFE SCIENCES,Life Sciences,Physical Sciences
N300115425225,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Arts & Humanities
N301115424225,ECONOMICS,"Mathematical, Computational and Statistical Sciences",Economics
N302115423225,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N303115421225,ECONOMICS,Economics,Global Affairs
N304115418225,ECONOMICS,Economics,Global Affairs
N308115410225,"PHILOSOPHY, POLITICS AND ECONOMICS","Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N310115424225,NA,Undecided,Undecided
N311115423225,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N312115421225,ARTS AND HUMANITIES,Psychology,Literature
N313115418225,ENVIRONMENTAL STUDIES,Environmental Studies,"Philosophy, Politics and Economics"
N314115414225,PSYCHOLOGY,Psychology,Urban Studies
N315115413225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,Undecided
N317115410225,LITERATURE,Arts & Humanities,Literature
N319115405225,ECONOMICS,"Mathematical, Computational and Statistical Sciences",Economics
N320115423225,ANTHROPOLOGY,Literature,Anthropology
N322115418225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",NA,"Philosophy, Politics and Economics"
N324115413225,LIFE SCIENCES,Life Sciences,Economics
N327115408225,LIFE SCIENCES,Physical Sciences,Life Sciences
N329115401225,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Philosophy
N330115421225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Physical Sciences
N332115414225,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Life Sciences
N334115412225,ANTHROPOLOGY,Arts & Humanities,Arts & Humanities
N335115410225,PHILOSOPHY,"Philosophy, Politics and Economics",Philosophy
N337115405225,ANTHROPOLOGY,Global Affairs,Anthropology
N338115401225,ANTHROPOLOGY,History,NA
N339115402225,ECONOMICS,Life Sciences,Physical Sciences
N340115418225,GLOBAL AFFAIRS,Global Affairs,Urban Studies
N341115414225,ECONOMICS,"Philosophy, Politics and Economics",Philosophy
N342115413225,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N344115410225,GLOBAL AFFAIRS,Environmental Studies,Global Affairs
N345115408225,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N346115405225,DDP LAW,Psychology,Undecided
N347115401225,PSYCHOLOGY,Psychology,Undecided
N349115425225,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,"Philosophy, Politics and Economics"
N350115414225,ECONOMICS,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N351115413225,ECONOMICS,"Mathematical, Computational and Statistical Sciences",NA
N352115412225,ECONOMICS,Economics,Physical Sciences
N353115410225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Global Affairs
N354115408225,PHILOSOPHY,Global Affairs,"Philosophy, Politics and Economics"
N355115405225,ECONOMICS,Environmental Studies,Economics
N356115401225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Anthropology
N309115413240,ANTHROPOLOGY,Anthropology,Undecided
N310115401240,LIFE SCIENCES,Life Sciences,Physical Sciences
N312115425240,ENVIRONMENTAL STUDIES,Environmental Studies,Physical Sciences
N305115413244,GLOBAL AFFAIRS,Global Affairs,Undecided
N333115408255,ENVIRONMENTAL STUDIES,Global Affairs,Economics
N336115405262,PSYCHOLOGY,Psychology,Literature
N337115401262,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Philosophy
N338115402262,LITERATURE,Undecided,Urban Studies
N339115425262,HISTORY,Economics,"Philosophy, Politics and Economics"
N340115414262,LITERATURE,Literature,Arts & Humanities
N341115413262,ARTS AND HUMANITIES,"Philosophy, Politics and Economics",Arts & Humanities
N342115412262,URBAN STUDIES,"Mathematical, Computational and Statistical Sciences",Psychology
N343115410262,DDP LAW,Economics,Global Affairs
N344115408262,URBAN STUDIES,Urban Studies,Undecided
N345115405262,URBAN STUDIES,Urban Studies,Environmental Studies
N346115401262,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N347115402262,ANTHROPOLOGY,Philosophy,"Philosophy, Politics and Economics"
N348115425262,DDP LAW,Arts & Humanities,"Philosophy, Politics and Economics"
N350115413262,LITERATURE,Literature,Anthropology
N351115412262,DDP LAW,Psychology,"Philosophy, Politics and Economics"
N352115410262,PHILOSOPHY,"Philosophy, Politics and Economics",Arts & Humanities
N353115408262,ENVIRONMENTAL STUDIES,Psychology,Physical Sciences
N354115405262,PSYCHOLOGY,Psychology,Physical Sciences
N355115401262,ARTS AND HUMANITIES,Literature,Arts & Humanities
N356115402262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Global Affairs
N357115425262,DDP LAW,Global Affairs,Urban Studies
N358115424262,PHILOSOPHY,Economics,Philosophy
N359115423262,DDP LAW,Literature,"Philosophy, Politics and Economics"
N360115412262,PHILOSOPHY,Economics,Global Affairs
N361115410262,PSYCHOLOGY,Psychology,Anthropology
N362115408262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Literature,Undecided
N363115405262,PSYCHOLOGY,Psychology,Anthropology
N364115401262,ENVIRONMENTAL STUDIES,Environmental Studies,Global Affairs
N365115402262,URBAN STUDIES,Arts & Humanities,Economics
N366115425262,ARTS AND HUMANITIES,Philosophy,Literature
N367115424262,LITERATURE,Arts & Humanities,Global Affairs
N368115423262,PHILOSOPHY,Psychology,"Philosophy, Politics and Economics"
N369115421262,URBAN STUDIES,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences"
N370115410262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Literature
N371115408262,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Undecided
N372115405262,ENVIRONMENTAL STUDIES,NA,Arts & Humanities
N374115402262,ARTS AND HUMANITIES,Urban Studies,Life Sciences
N375115425262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Economics
N376115424262,LITERATURE,History,Literature
N377115423262,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N378115421262,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Arts & Humanities
N379115418262,PHILOSOPHY,Global Affairs,"Philosophy, Politics and Economics"
N380115408262,DDP LAW,Undecided,Undecided
N381115405262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Global Affairs
N383115402262,ECONOMICS,Economics,Environmental Studies
N384115425262,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N385115424262,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,Global Affairs
N386115423262,LITERATURE,Literature,Arts & Humanities
N387115421262,URBAN STUDIES,Literature,Global Affairs
N388115418262,PSYCHOLOGY,Psychology,Economics
N389115414262,PHYSICAL SCIENCES,Physical Sciences,Philosophy
N390115405262,ECONOMICS,"Philosophy, Politics and Economics",Economics
N332115412272,PSYCHOLOGY,Psychology,Global Affairs
N318115402282,GLOBAL AFFAIRS,Global Affairs,History
N319115424283,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Undecided
N391116401207,ECONOMICS,Arts & Humanities,Literature
N393116425207,ARTS AND HUMANITIES,Arts & Humanities,Anthropology
N394116424207,ANTHROPOLOGY,Psychology,"Philosophy, Politics and Economics"
N395116423207,GLOBAL AFFAIRS,Literature,Arts & Humanities
N396116421207,DDP LAW,Arts & Humanities,"Philosophy, Politics and Economics"
N397116418207,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,"Philosophy, Politics and Economics"
N398116414207,HISTORY,History,Psychology
N399116413207,LITERATURE,Global Affairs,Arts & Humanities
N301116421208,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N303116414208,ARTS AND HUMANITIES,Arts & Humanities,Undecided
N304116413208,ENVIRONMENTAL STUDIES,Literature,Environmental Studies
N305116412208,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N306116410208,GLOBAL AFFAIRS,Literature,Psychology
N307116408208,ANTHROPOLOGY,Global Affairs,History
N308116405208,DDP LAW,Urban Studies,Anthropology
N309116401208,ENVIRONMENTAL STUDIES,Environmental Studies,"Philosophy, Politics and Economics"
N310116421208,HISTORY,Anthropology,Literature
N311116418208,ANTHROPOLOGY,"Philosophy, Politics and Economics",Global Affairs
N312116414208,ARTS AND HUMANITIES,"Philosophy, Politics and Economics",Psychology
N313116413208,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Philosophy, Politics and Economics"
N324116421212,LIFE SCIENCES,Life Sciences,Arts & Humanities
N325116418212,ENVIRONMENTAL STUDIES,Global Affairs,"Philosophy, Politics and Economics"
N336116408215,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Anthropology
N337116405215,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,"Mathematical, Computational and Statistical Sciences"
N338116401215,DDP LAW,"Philosophy, Politics and Economics",Literature
N339116402215,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Arts & Humanities,Physical Sciences
N340116418215,PSYCHOLOGY,Arts & Humanities,Psychology
N341116414215,ANTHROPOLOGY,Psychology,Anthropology
N342116413215,ARTS AND HUMANITIES,Environmental Studies,Urban Studies
N343116412215,PSYCHOLOGY,Literature,Psychology
N335116405217,ENVIRONMENTAL STUDIES,Environmental Studies,Life Sciences
N337116402217,ANTHROPOLOGY,Philosophy,Psychology
N300116408220,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,History
N330116424222,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N377116425223,ENVIRONMENTAL STUDIES,Urban Studies,Anthropology
N349111425274,PHYSICAL SCIENCES,Physical Sciences,"Philosophy, Politics and Economics"
N343112414217,PHILOSOPHY,"Philosophy, Politics and Economics",Arts & Humanities
N373113405290,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Global Affairs
N378114401240,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Arts & Humanities
N350114423299,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Physical Sciences
N398114424299,DDP LAW,Urban Studies,"Philosophy, Politics and Economics"
N301115412200,ENVIRONMENTAL STUDIES,Urban Studies,Physical Sciences
N335115424200,URBAN STUDIES,Psychology,Global Affairs
N333116413206,ECONOMICS,Economics,Environmental Studies
N338116402207,ANTHROPOLOGY,Psychology,Arts & Humanities
N317116424248,HISTORY,Psychology,History
N372116401280,NA,Anthropology,Physical Sciences
N378116402288,ANTHROPOLOGY,History,"Philosophy, Politics and Economics"
N321116401295,ECONOMICS,Economics,Environmental Studies
N322116402295,ENVIRONMENTAL STUDIES,Anthropology,Global Affairs
N323116425295,PSYCHOLOGY,"Philosophy, Politics and Economics",Arts & Humanities
N324116424295,ANTHROPOLOGY,Psychology,Arts & Humanities
N325116423295,HISTORY,Global Affairs,History
N327116418295,PHYSICAL SCIENCES,Undecided,Undecided
N328116414295,PSYCHOLOGY,History,Environmental Studies
N329116413295,ANTHROPOLOGY,Life Sciences,Life Sciences
N397116401295,DDP LAW,"Philosophy, Politics and Economics",Arts & Humanities
N398116402295,GLOBAL AFFAIRS,Arts & Humanities,Literature
N399116425295,URBAN STUDIES,Global Affairs,"Philosophy, Politics and Economics"
N300116408296,DDP LAW,Arts & Humanities,Anthropology
N301116405296,GLOBAL AFFAIRS,Global Affairs,"Philosophy, Politics and Economics"
N302116401296,ENVIRONMENTAL STUDIES,Global Affairs,Arts & Humanities
N303116402296,DDP LAW,Undecided,Undecided
N304116425296,ARTS AND HUMANITIES,Arts & Humanities,Undecided
N305116424296,ECONOMICS,Economics,Global Affairs
N307116421296,DDP LAW,Psychology,"Philosophy, Politics and Economics"
N308116418296,LITERATURE,"Philosophy, Politics and Economics",Global Affairs
N309116414296,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,History
N310116405296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N311116401296,ANTHROPOLOGY,Anthropology,Economics
N312116402296,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Arts & Humanities
N313116425296,ECONOMICS,Economics,"Mathematical, Computational and Statistical Sciences"
N315116423296,NA,Urban Studies,Psychology
N317116418296,GLOBAL AFFAIRS,Economics,"Mathematical, Computational and Statistical Sciences"
N319116413296,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N320116401296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,Economics
N321116402296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Physical Sciences
N322116425296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,Environmental Studies
N323116424296,HISTORY,"Philosophy, Politics and Economics",Anthropology
N324116423296,ANTHROPOLOGY,Anthropology,Undecided
N325116421296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N326116418296,PSYCHOLOGY,Psychology,Economics
N327116414296,URBAN STUDIES,Global Affairs,Psychology
N328116413296,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Arts & Humanities
N329116412296,ARTS AND HUMANITIES,Anthropology,Anthropology
N330116402296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Undecided
N331116425296,GLOBAL AFFAIRS,Global Affairs,"Philosophy, Politics and Economics"
N332116424296,HISTORY,Economics,"Philosophy, Politics and Economics"
N333116423296,URBAN STUDIES,Anthropology,NA
N334116421296,URBAN STUDIES,Global Affairs,Economics
N335116418296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N336116414296,ENVIRONMENTAL STUDIES,NA,Environmental Studies
N337116413296,URBAN STUDIES,Arts & Humanities,History
N338116412296,LITERATURE,Literature,Arts & Humanities
N339116410296,URBAN STUDIES,Philosophy,Literature
N340116425296,PHYSICAL SCIENCES,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N341116424296,LITERATURE,Undecided,Arts & Humanities
N337117410203,ECONOMICS,Economics,Psychology
N338117408203,ECONOMICS,Economics,"Mathematical, Computational and Statistical Sciences"
N339117405203,LIFE SCIENCES,Global Affairs,Life Sciences
N340117423203,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Urban Studies
N341117421203,ECONOMICS,Economics,Life Sciences
N342117418203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Economics
N343117414203,ENVIRONMENTAL STUDIES,Economics,"Philosophy, Politics and Economics"
N344117413203,NA,Psychology,"Mathematical, Computational and Statistical Sciences"
N345117412203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N346117410203,URBAN STUDIES,Global Affairs,"Philosophy, Politics and Economics"
N348117405203,LIFE SCIENCES,Life Sciences,Environmental Studies
N349117401203,URBAN STUDIES,Life Sciences,Psychology
N350117421203,PSYCHOLOGY,"Philosophy, Politics and Economics",Psychology
N351117418203,PHYSICAL SCIENCES,Environmental Studies,Urban Studies
N352117414203,LIFE SCIENCES,Physical Sciences,Psychology
N353117413203,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,"Philosophy, Politics and Economics"
N354117412203,PSYCHOLOGY,"Philosophy, Politics and Economics",Economics
N355117410203,LIFE SCIENCES,Global Affairs,"Philosophy, Politics and Economics"
N356117408203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Psychology
N357117405203,PHYSICAL SCIENCES,Life Sciences,Life Sciences
N358117401203,PSYCHOLOGY,"Philosophy, Politics and Economics",Economics
N359117402203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Environmental Studies,Physical Sciences
N360117418203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Economics
N361117414203,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences"
N362117413203,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N363117412203,URBAN STUDIES,Anthropology,Philosophy
N364117410203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Economics
N365117408203,ECONOMICS,Economics,NA
N367117401203,URBAN STUDIES,Undecided,Physical Sciences
N368117402203,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Arts & Humanities
N369117425203,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Psychology
N370117414203,"PHILOSOPHY, POLITICS AND ECONOMICS",Psychology,"Philosophy, Politics and Economics"
N371117413203,LIFE SCIENCES,Psychology,Arts & Humanities
N372117412203,"PHILOSOPHY, POLITICS AND ECONOMICS",Undecided,"Mathematical, Computational and Statistical Sciences"
N373117410203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N374117408203,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Arts & Humanities
N376117401203,LIFE SCIENCES,Life Sciences,Environmental Studies
N377117402203,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N378117425203,ECONOMICS,"Philosophy, Politics and Economics",Economics
N379117424203,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N380117413203,ENVIRONMENTAL STUDIES,Environmental Studies,Undecided
N381117412203,ECONOMICS,Economics,Global Affairs
N383117408203,"PHILOSOPHY, POLITICS AND ECONOMICS","Mathematical, Computational and Statistical Sciences",Physical Sciences
N384117405203,ECONOMICS,"Philosophy, Politics and Economics",Life Sciences
N385117401203,ECONOMICS,Economics,"Philosophy, Politics and Economics"
N386117402203,ECONOMICS,Environmental Studies,Physical Sciences
N387117425203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics","Philosophy, Politics and Economics"
N388117424203,PSYCHOLOGY,Psychology,"Philosophy, Politics and Economics"
N389117423203,PSYCHOLOGY,"Mathematical, Computational and Statistical Sciences",Life Sciences
N390117412203,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N391117410203,GLOBAL AFFAIRS,Literature,Physical Sciences
N392117408203,GLOBAL AFFAIRS,Arts & Humanities,Arts & Humanities
N393117405203,LIFE SCIENCES,Anthropology,Arts & Humanities
N394117401203,LIFE SCIENCES,Life Sciences,Physical Sciences
N395117402203,ARTS AND HUMANITIES,Arts & Humanities,Psychology
N397117424203,"PHILOSOPHY, POLITICS AND ECONOMICS",Undecided,Economics
N399117421203,LITERATURE,"Mathematical, Computational and Statistical Sciences",Literature
N300117402204,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N301117425204,PSYCHOLOGY,Psychology,Philosophy
N302117424204,PHILOSOPHY,Economics,Physical Sciences
N305117418204,GLOBAL AFFAIRS,Psychology,Global Affairs
N307117413204,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Undecided
N308117412204,ECONOMICS,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences"
N309117410204,LIFE SCIENCES,Life Sciences,Physical Sciences
N310117425204,PHYSICAL SCIENCES,Physical Sciences,NA
N311117424204,"PHILOSOPHY, POLITICS AND ECONOMICS",Undecided,Undecided
N312117423204,PHYSICAL SCIENCES,Physical Sciences,"Mathematical, Computational and Statistical Sciences"
N313117421204,GLOBAL AFFAIRS,Psychology,Urban Studies
N315117414204,"PHILOSOPHY, POLITICS AND ECONOMICS","Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N316117413204,URBAN STUDIES,Undecided,Anthropology
N318117410204,NA,Life Sciences,Psychology
N319117408204,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Economics
N320117424204,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N321117423204,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Anthropology
N322117421204,PHYSICAL SCIENCES,"Mathematical, Computational and Statistical Sciences",Economics
N323117418204,ENVIRONMENTAL STUDIES,Physical Sciences,Philosophy
N324117414204,ENVIRONMENTAL STUDIES,Psychology,Physical Sciences
N325117413204,PHYSICAL SCIENCES,Physical Sciences,Arts & Humanities
N326117412204,ECONOMICS,"Philosophy, Politics and Economics",Economics
N327117410204,PHYSICAL SCIENCES,"Mathematical, Computational and Statistical Sciences",Economics
N328117408204,URBAN STUDIES,Anthropology,Anthropology
N329117405204,PHILOSOPHY,History,Psychology
N330117423204,ENVIRONMENTAL STUDIES,Environmental Studies,Global Affairs
N331117421204,GLOBAL AFFAIRS,Global Affairs,Arts & Humanities
N332117418204,ECONOMICS,Economics,Undecided
N333117414204,PHILOSOPHY,Global Affairs,"Philosophy, Politics and Economics"
N334117413204,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Psychology,"Philosophy, Politics and Economics"
N335117412204,ANTHROPOLOGY,Life Sciences,Economics
N336117410204,URBAN STUDIES,Global Affairs,Urban Studies
N337117408204,NA,"Philosophy, Politics and Economics",Urban Studies
N339117401204,ECONOMICS,"Philosophy, Politics and Economics",Economics
N341117418204,PSYCHOLOGY,Life Sciences,Psychology
N343117413204,PHYSICAL SCIENCES,History,Physical Sciences
N344117412204,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Urban Studies,"Philosophy, Politics and Economics"
N345117410204,ENVIRONMENTAL STUDIES,Environmental Studies,Economics
N324117405209,PHYSICAL SCIENCES,Environmental Studies,Physical Sciences
N339117421209,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Physical Sciences
N340117410209,DDP LAW,Global Affairs,Economics
N341117408209,LIFE SCIENCES,Life Sciences,Literature
N342117405209,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Psychology
N343117401209,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N345117425209,ARTS AND HUMANITIES,Psychology,Physical Sciences
N395117424214,PSYCHOLOGY,Arts & Humanities,Physical Sciences
N396117423214,DDP LAW,Literature,Arts & Humanities
N397117421214,"PHILOSOPHY, POLITICS AND ECONOMICS",Physical Sciences,Anthropology
N398117418214,ANTHROPOLOGY,Global Affairs,"Philosophy, Politics and Economics"
N399117414214,ENVIRONMENTAL STUDIES,"Philosophy, Politics and Economics",Economics
N300117424215,PSYCHOLOGY,Psychology,"Mathematical, Computational and Statistical Sciences"
N301117423215,ECONOMICS,History,"Philosophy, Politics and Economics"
N302117421215,ENVIRONMENTAL STUDIES,Anthropology,"Philosophy, Politics and Economics"
N303117418215,ARTS AND HUMANITIES,Philosophy,Literature
N304117414215,ECONOMICS,Economics,"Philosophy, Politics and Economics"
N305117413215,PHILOSOPHY,Philosophy,Undecided
N306117412215,GLOBAL AFFAIRS,Arts & Humanities,Global Affairs
N307117410215,PHILOSOPHY,Literature,Undecided
N308117408215,ANTHROPOLOGY,Psychology,Anthropology
N343117410215,ENVIRONMENTAL STUDIES,Anthropology,Urban Studies
N344117408215,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,"Mathematical, Computational and Statistical Sciences"
N345117405215,ECONOMICS,Literature,Arts & Humanities
N346117401215,DDP LAW,"Philosophy, Politics and Economics",Psychology
N347117402215,PSYCHOLOGY,Global Affairs,"Philosophy, Politics and Economics"
N348117425215,PSYCHOLOGY,"Philosophy, Politics and Economics",Anthropology
N349117424215,LITERATURE,Global Affairs,Economics
N350117413215,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Global Affairs,"Philosophy, Politics and Economics"
N351117412215,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N352117410215,ENVIRONMENTAL STUDIES,Environmental Studies,Urban Studies
N354117405215,ARTS AND HUMANITIES,Literature,Undecided
N355117401215,ENVIRONMENTAL STUDIES,Arts & Humanities,Environmental Studies
N357117425215,ENVIRONMENTAL STUDIES,Literature,"Philosophy, Politics and Economics"
N358117424215,DDP LAW,Physical Sciences,Global Affairs
N359117423215,PHILOSOPHY,Literature,"Philosophy, Politics and Economics"
N361117410215,DDP LAW,Arts & Humanities,Literature
N362117408215,DDP LAW,Urban Studies,"Philosophy, Politics and Economics"
N363117405215,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Urban Studies
N364117401215,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N365117402215,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N366117425215,ANTHROPOLOGY,Psychology,Anthropology
N367117424215,HISTORY,Arts & Humanities,Global Affairs
N368117423215,ANTHROPOLOGY,Economics,Global Affairs
N370117410215,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Global Affairs
N371117408215,PHILOSOPHY,Arts & Humanities,"Philosophy, Politics and Economics"
N372117405215,URBAN STUDIES,Global Affairs,History
N373117401215,DDP LAW,"Philosophy, Politics and Economics",History
N374117402215,LITERATURE,Literature,Philosophy
N375117425215,PSYCHOLOGY,Psychology,Urban Studies
N377117423215,PHILOSOPHY,Philosophy,Psychology
N378117421215,"PHILOSOPHY, POLITICS AND ECONOMICS",Environmental Studies,Arts & Humanities
N379117418215,URBAN STUDIES,Global Affairs,Economics
N380117408215,ECONOMICS,"Philosophy, Politics and Economics",Global Affairs
N381117405215,URBAN STUDIES,Literature,Arts & Humanities
N382117401215,LITERATURE,History,Literature
N383117402215,DDP LAW,Psychology,Anthropology
