"PIN","Admit.Year","Academic.Interest.1","Academic.Interest.2","Major","Real.Grade.Numeric.Literature and Humanities 1","Real.Grade.Numeric.Literature and Humanities 2","Real.Grade.Numeric.Philosophy and  Political Thought 1","Real.Grade.Numeric.Philosophy and  Political Thought 2","Real.Grade.Numeric.Comparative Social Inquiry","Real.Grade.Numeric.Modern Social Thought","Real.Grade.Numeric.Quantitative Reasoning","Real.Grade.Numeric.Science"
"N348114402244",2015,"Life Sciences","Global Affairs","ANTHROPOLOGY",0,3,0,5,0,4.5,3,2.25
"N359113425280",2015,"Philosophy, Politics and Economics","History","GLOBAL AFFAIRS",0,5,0,5,0,5,4,2
"N341113418280",2015,"Life Sciences","Undecided","LIFE SCIENCES",0,5,0,4.5,0,4.5,4.5,2.5
"N337114405244",2015,"Urban Studies","Arts & Humanities","ARTS AND HUMANITIES",0,3.5,0,4.5,0,4.5,4.5,2.25
"N369114410201",2015,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY",0,5,0,5,0,5,4.5,2.5
"N330113423280",2015,"Urban Studies","Urban Studies","ECONOMICS",0,3.5,0,4,0,4,4.5,2.5
"N365114418201",2015,"Life Sciences","Physical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,5.5,0,5.5,0,5.5,6,3
"N323113418280",2015,"Arts & Humanities","Literature","ARTS AND HUMANITIES",0,4,0,3.5,0,4.5,4,1.75
"N305113412283",2015,"Global Affairs","Philosophy, Politics and Economics","DDP LAW",0,4,0,4.5,0,4,3.5,2.25
"N345113410280",2015,"Urban Studies","Arts & Humanities","PSYCHOLOGY",0,5,0,4.5,0,4.5,6,2.75
"N363114421211",2015,"Philosophy, Politics and Economics","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",0,4,0,4,0,4,3.5,1.75
"N362114423211",2015,"Life Sciences","Psychology","ECONOMICS",0,2.5,0,3.5,0,4,4,2
"N343114412244",2015,"Mathematical, Computational and Statistical Sciences","Environmental Studies","ECONOMICS",0,4,0,3,0,4,4,1.75
"N374114418201",2015,"Arts & Humanities","Global Affairs","ARTS AND HUMANITIES",0,3.5,0,4.5,0,4.5,3.5,2
"N376115402224",2016,"Anthropology","Urban Studies","PHILOSOPHY, POLITICS AND ECONOMICS",5,4,4,4.5,3.5,5,4,4.75
"N335116405217",2016,"Environmental Studies","Life Sciences","ENVIRONMENTAL STUDIES",4,4.5,4,4.5,4,3.5,4,4.5
"N340116418215",2016,"Arts & Humanities","Psychology","PSYCHOLOGY",4,4,4,3.5,2.5,3.5,3.5,4.25
"N303116414208",2016,"Arts & Humanities","Undecided","ARTS AND HUMANITIES",5,5,4,5,3,4,2.5,4.75
"N375115401224",2016,"Physical Sciences","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",3.5,4.5,4.5,5,3,5,4.5,4.5
"N362115412224",2016,"Anthropology","Psychology","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,4,5.5,4.5,5,4.5,4.5
"N355115405225",2016,"Environmental Studies","Economics","ECONOMICS",2.5,4,4.5,4,4,4.5,4,4
"N341115413262",2016,"Philosophy, Politics and Economics","Arts & Humanities","ARTS AND HUMANITIES",5,4,4.5,4,4,4.5,4.5,4.75
"N354115408225",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY",4.5,5,5,5.5,5,4.5,4,4.5
"N350115418224",2016,"Philosophy, Politics and Economics","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",5,5,4.5,4.5,4.5,5,4.5,5
"N377116425223",2016,"Urban Studies","Anthropology","ENVIRONMENTAL STUDIES",3.5,3.5,4,3.5,4,4,2.5,4.25
"N380115408262",2016,"Undecided","Undecided","DDP LAW",4.5,4,4.5,4.5,5.5,4.5,4.5,5
"N344115412224",2016,"Physical Sciences","Philosophy, Politics and Economics","PSYCHOLOGY",5,5.5,4,4.5,4.5,5,4.5,5
"N388115423224",2016,"Life Sciences","Mathematical, Computational and Statistical Sciences","LIFE SCIENCES",4.5,4.5,5,5,4.5,5.5,4.5,5
"N325116418212",2016,"Global Affairs","Philosophy, Politics and Economics","ENVIRONMENTAL STUDIES",3.5,5,4,4.5,3.5,4.5,3.5,3.75
"N307116408208",2016,"Global Affairs","History","ANTHROPOLOGY",4.5,4.5,4.5,4.5,4,5,4,4.75
"N391115408224",2016,"Economics","Mathematical, Computational and Statistical Sciences","ECONOMICS",4.5,4.5,4,4.5,3.5,4,4,4.25
"N305115413244",2016,"Global Affairs","Undecided","GLOBAL AFFAIRS",5,4.5,5,4.5,5,4.5,4,4.25
"N333115408255",2016,"Global Affairs","Economics","ENVIRONMENTAL STUDIES",3.5,5,3,4,5,5,4.5,5
"N349115402224",2016,"Economics","Literature","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,5,5.5,4.5,4.5,4.5,4,4.25
"N342115413225",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",3.5,4,3.5,4.5,3.5,4,3.5,4.25
"N334115412225",2016,"Arts & Humanities","Arts & Humanities","ANTHROPOLOGY",4.5,4.5,3,3.5,4,4.5,3.5,3.75
"N339115425262",2016,"Economics","Philosophy, Politics and Economics","HISTORY",5,4,5,5.5,4.5,5,4.5,4.75
"N385115402224",2016,"Anthropology","Arts & Humanities","HISTORY",4,3.5,4.5,3.5,5,4,3.5,3.5
"N343116412215",2016,"Literature","Psychology","PSYCHOLOGY",4.5,4,3.5,4.5,4,4,3.5,4.25
"N304116413208",2016,"Literature","Environmental Studies","ENVIRONMENTAL STUDIES",4.5,3.5,3.5,4,5,5,4.5,4.75
"N310115401240",2016,"Life Sciences","Physical Sciences","LIFE SCIENCES",5.5,5,5,5.5,5,5.5,5,5.25
"N332115412272",2016,"Psychology","Global Affairs","PSYCHOLOGY",4.5,3.5,4,3.5,4.5,3.5,3.5,4.25
"N346115408224",2016,"Global Affairs","Anthropology","URBAN STUDIES",4,4,4,3.5,3,4.5,3.5,4.25
"N354115410224",2016,"Philosophy, Politics and Economics","Economics","ENVIRONMENTAL STUDIES",4.5,2.5,4,4,4,4.5,4,4.5
"N353115410225",2016,"Mathematical, Computational and Statistical Sciences","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,4,5,4,4.5,4.5,4,4.5
"N357115425262",2016,"Global Affairs","Urban Studies","DDP LAW",5,4,4.5,4,4.5,5,3.5,4.5
"N312116414208",2016,"Philosophy, Politics and Economics","Psychology","ARTS AND HUMANITIES",4.5,5.5,4.5,4.5,4,5.5,5,4.5
"N368115423262",2016,"Psychology","Philosophy, Politics and Economics","PHILOSOPHY",4,4.5,5,5.5,4.5,4.5,4,4.25
"N399115418224",2016,"Life Sciences","Physical Sciences","LIFE SCIENCES",4.5,4,4.5,5,5.5,4,4,4.5
"N395116423207",2016,"Literature","Arts & Humanities","GLOBAL AFFAIRS",4,5,3.5,4,4,4.5,3,3.75
"N341116414215",2016,"Psychology","Anthropology","ANTHROPOLOGY",4.5,4,5.5,5,5,4.5,4.5,5.25
"N338115402262",2016,"Undecided","Urban Studies","LITERATURE",4.5,5.5,5.5,5.5,4.5,4.5,4.5,5
"N357115401224",2016,"Life Sciences","Economics","PSYCHOLOGY",4.5,3.5,4,4,5,4,4,4
"N390115405262",2016,"Philosophy, Politics and Economics","Economics","ECONOMICS",4,4.5,3.5,4.5,5,4.5,4.5,4.5
"N384115425262",2016,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",5,3.5,4,5,4,0,4.5,2.25
"N381115410224",2016,"Economics","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,5,4.5,5,5,4.5,4,5
"N364115408224",2016,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4.5,3.5,4.5,4,4.5,5,4.25
"N396116421207",2016,"Arts & Humanities","Philosophy, Politics and Economics","DDP LAW",5.5,5,5.5,5.5,4.5,5.5,5,5
"N394116424207",2016,"Psychology","Philosophy, Politics and Economics","ANTHROPOLOGY",5,4,4,4.5,5,4,4,4.5
"N338113408261",2016,"Psychology","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4,4.5,4,4.5,5,4,4.25
"N345115410224",2016,"Literature","Philosophy, Politics and Economics","GLOBAL AFFAIRS",4,2.5,3.5,4,4.5,4.5,2.5,3.75
"N352115412225",2016,"Economics","Physical Sciences","ECONOMICS",5,4,4.5,4.5,5,4.5,4,4.75
"N339115401224",2016,"Arts & Humanities","Life Sciences","PSYCHOLOGY",4,4,4.5,3.5,4.5,4.5,4.5,4.25
"N339116402215",2016,"Arts & Humanities","Physical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,4,4,4,3,4.5,4,4.75
"N393115401224",2016,"Global Affairs","Anthropology","PHILOSOPHY",4.5,5,5,4.5,4,5,4,4.75
"N342115414224",2016,"Philosophy, Politics and Economics","Arts & Humanities","ANTHROPOLOGY",4,4.5,4,4.5,4,4.5,4,3.75
"N360115412262",2016,"Economics","Global Affairs","PHILOSOPHY",3.5,4,4,5,3,4.5,4,3.75
"N367115424262",2016,"Arts & Humanities","Global Affairs","LITERATURE",4,3,3.5,3.5,2.5,3.5,2.5,4.25
"N365115402262",2016,"Arts & Humanities","Economics","URBAN STUDIES",4,4.5,3.5,3.5,4,4.5,4,4.25
"N358115424262",2016,"Economics","Philosophy","PHILOSOPHY",5,4.5,5.5,5.5,5,5.5,5.5,5
"N338116401215",2016,"Philosophy, Politics and Economics","Literature","DDP LAW",5,5.5,4.5,5.5,4.5,5,4.5,4.25
"N354115405262",2016,"Psychology","Physical Sciences","PSYCHOLOGY",4.5,4.5,4.5,4,4,4.5,5,5
"N315115413225",2016,"Economics","Undecided","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4,5.5,4.5,4,4.5,4,4.75
"N337115405225",2016,"Global Affairs","Anthropology","ANTHROPOLOGY",4.5,4.5,4.5,4.5,4.5,5,3.5,4
"N352115413224",2016,"Global Affairs","Psychology","PSYCHOLOGY",4,4.5,4,4,4,4.5,4.5,4.5
"N361115410262",2016,"Psychology","Anthropology","PSYCHOLOGY",5,5.5,4,5,4.5,5,4,4.25
"N313116413208",2016,"Economics","Philosophy, Politics and Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",3.5,5.5,4.5,4,4,4.5,5.5,4.5
"N351115412262",2016,"Psychology","Philosophy, Politics and Economics","DDP LAW",4.5,4.5,4.5,5,5.5,5.5,5.5,5
"N301115424225",2016,"Mathematical, Computational and Statistical Sciences","Economics","ECONOMICS",4.5,4,4,3.5,4.5,4,5,4.5
"N356115401225",2016,"Physical Sciences","Anthropology","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,4.5,4.5,4.5,4.5,5,5,4.75
"N355115408224",2016,"Mathematical, Computational and Statistical Sciences","Philosophy","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,3.5,4.5,4,5,4.5,5.5,4.25
"N367115402224",2016,"Philosophy, Politics and Economics","Global Affairs","LITERATURE",5,5.5,3.5,4.5,5,5,4.5,4.75
"N340115414262",2016,"Literature","Arts & Humanities","LITERATURE",5.5,5.5,5.5,5.5,5.5,4.5,4,5
"N370115410262",2016,"Philosophy, Politics and Economics","Literature","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,4,4,4.5,4.5,4.5,5,4.5
"N344115410225",2016,"Environmental Studies","Global Affairs","GLOBAL AFFAIRS",5,5.5,4,5,5,4.5,5,5
"N386115423262",2016,"Literature","Arts & Humanities","LITERATURE",5,5,4,5,4.5,4.5,4.5,5.25
"N377115425224",2016,"Physical Sciences","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4,3.5,4.5,4,5,5,3.75
"N359115425224",2016,"Philosophy, Politics and Economics","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",5.5,5,5,4.5,4.5,5,4.5,5
"N378115421262",2016,"Economics","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",4,4.5,4.5,5.5,3.5,4.5,4.5,4.75
"N368115425224",2016,"Global Affairs","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,4.5,4.5,5,4.5,4.5,4.75
"N398116414207",2016,"History","Psychology","HISTORY",5,5,5.5,4.5,5.5,5,4,5.25
"N362115408262",2016,"Literature","Undecided","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,4.5,5,5,4.5,5.5,5.5,4.75
"N311116418208",2016,"Philosophy, Politics and Economics","Global Affairs","ANTHROPOLOGY",4.5,4.5,3.5,4,4,4.5,4,4
"N353115412224",2016,"Philosophy, Politics and Economics","Arts & Humanities","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,5.5,4,5,4.5,4.5,4.5,4.5
"N374115405224",2016,"Undecided","Undecided","PHILOSOPHY, POLITICS AND ECONOMICS",4,4.5,4,4.5,5,4.5,4.5,5
"N344115408262",2016,"Urban Studies","Undecided","URBAN STUDIES",5,5,4,5.5,4.5,5,4.5,4.75
"N376115424262",2016,"History","Literature","LITERATURE",5.5,5,5,4.5,5.5,5.5,4,4.25
"N383115405224",2016,"Global Affairs","Philosophy, Politics and Economics","PSYCHOLOGY",4.5,4.5,4,2.5,4.5,4.5,2.5,3.75
"N319115424283",2016,"Philosophy, Politics and Economics","Undecided","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",3,2.5,2.5,3.5,3.5,4.5,4,4.25
"N308116405208",2016,"Urban Studies","Anthropology","DDP LAW",5,5,5,5,4.5,5.5,5,5.25
"N304115418225",2016,"Economics","Global Affairs","ECONOMICS",4.5,4,4.5,4.5,4,4,4,4.5
"N347115401225",2016,"Psychology","Undecided","PSYCHOLOGY",5,4.5,4,4.5,5,4.5,4.5,4.5
"N301116421208",2016,"Economics","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,4.5,5,4.5,5,5.5,5.5,5
"N360115414224",2016,"Philosophy, Politics and Economics","Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4,4.5,4.5,4,4.5,5.5,4.75
"N389115414262",2016,"Physical Sciences","Philosophy","PHYSICAL SCIENCES",4.5,4.5,4,4.5,5.5,4.5,5.5,5
"N383115402262",2016,"Economics","Environmental Studies","ECONOMICS",4.5,4.5,3.5,5,4,4.5,5.5,4.75
"N380115412224",2016,"Psychology","Arts & Humanities","ARTS AND HUMANITIES",4.5,5,3.5,5,2.5,4.5,4,4
"N363114412242",2016,"Global Affairs","Literature","PHILOSOPHY, POLITICS AND ECONOMICS",4,4,4.5,4.5,4.5,4.5,4.5,4.5
"N382115408224",2016,"History","Physical Sciences","HISTORY",4.5,5,5,5.5,4,4.5,4.5,5
"N327115408225",2016,"Physical Sciences","Life Sciences","LIFE SCIENCES",4.5,4.5,4.5,4.5,4,4.5,4.5,4.5
"N348115425262",2016,"Arts & Humanities","Philosophy, Politics and Economics","DDP LAW",5,5,3.5,3.5,3.5,4,4.5,3.75
"N346115405225",2016,"Psychology","Undecided","DDP LAW",5,5.5,5.5,5.5,5,4.5,5.5,4.75
"N313115418225",2016,"Environmental Studies","Philosophy, Politics and Economics","ENVIRONMENTAL STUDIES",4,4.5,4.5,4,3,5,4.5,4.5
"N306116410208",2016,"Literature","Psychology","GLOBAL AFFAIRS",5,5.5,4,4.5,5,4.5,4,5
"N337115401262",2016,"Literature","Philosophy","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,4.5,4.5,4,4.5,4.5,5
"N318115402282",2016,"Global Affairs","History","GLOBAL AFFAIRS",4,4.5,5,4,4.5,5,3.5,4.5
"N397115423224",2016,"Psychology","Life Sciences","PHILOSOPHY, POLITICS AND ECONOMICS",5,5,4.5,4.5,4,5.5,5,5
"N346115401262",2016,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",5.5,3,3,3.5,2.5,4.5,3.5,4
"N309115413240",2016,"Anthropology","Undecided","ANTHROPOLOGY",4,3,2.5,3.5,2.5,5,3.5,3.75
"N330116424222",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4,3.5,5,3.5,5,4.5,3.5,4.25
"N302115423225",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",5,5,4.5,4.5,4,5,4.5,4.25
"N340115418225",2016,"Global Affairs","Urban Studies","GLOBAL AFFAIRS",5,4,4,4.5,5,4.5,4.5,4.5
"N312115425240",2016,"Environmental Studies","Physical Sciences","ENVIRONMENTAL STUDIES",4.5,4,5,4,3.5,4.5,5,4.75
"N351113418261",2016,"Anthropology","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,4.5,5.5,4.5,5,5.5,5.5,5
"N329115401225",2016,"Philosophy, Politics and Economics","Philosophy","PHILOSOPHY, POLITICS AND ECONOMICS",4,4,3.5,5,3.5,5,5.5,4.25
"N366115425262",2016,"Philosophy","Literature","ARTS AND HUMANITIES",4,4.5,4.5,5,4.5,4,2.5,4.25
"N317115410225",2016,"Arts & Humanities","Literature","LITERATURE",5,5,4.5,4.5,5,5.5,4.5,4.5
"N369115424224",2016,"Physical Sciences","Environmental Studies","PHYSICAL SCIENCES",4,3.5,4,4.5,3.5,5,4.5,4.75
"N365115405224",2016,"Economics","Global Affairs","ECONOMICS",4.5,4.5,4.5,5,5,5,4.5,5.25
"N387115421262",2016,"Literature","Global Affairs","URBAN STUDIES",4,3.5,2.5,3.5,4,3.5,3.5,3.5
"N393116425207",2016,"Arts & Humanities","Anthropology","ARTS AND HUMANITIES",5.5,5.5,5.5,5,5.5,5,5,5.25
"N314115414225",2016,"Psychology","Urban Studies","PSYCHOLOGY",5.5,4.5,5.5,4.5,5.5,5.5,4.5,5.5
"N337116405215",2016,"Physical Sciences","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,5,5.5,5,5,4.5,4.5,4.75
"N341115418224",2016,"Psychology","Life Sciences","PSYCHOLOGY",4.5,4,3.5,3.5,3,4.5,4,4.75
"N335115410225",2016,"Philosophy, Politics and Economics","Philosophy","PHILOSOPHY",4,5,4.5,5,4.5,4.5,4.5,5
"N379115418262",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY",4.5,4,4,4.5,3.5,5.5,4,4.25
"N320115423225",2016,"Literature","Anthropology","ANTHROPOLOGY",4.5,3.5,4,4,4,5.5,3,3.75
"N364115401262",2016,"Environmental Studies","Global Affairs","ENVIRONMENTAL STUDIES",5.5,5,5.5,5.5,5.5,5.5,5.5,5.25
"N397116418207",2016,"Economics","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4,5,4,4,3.5,4.5,3.5,4.25
"N337116402217",2016,"Philosophy","Psychology","ANTHROPOLOGY",5,4.5,4.5,4.5,3.5,4.5,3.5,4.5
"N345115405262",2016,"Urban Studies","Environmental Studies","URBAN STUDIES",3.5,4,4.5,4.5,5,5,3.5,4.5
"N310116421208",2016,"Anthropology","Literature","HISTORY",5.5,4,5,5,5,5,4,4.75
"N343115413224",2016,"Literature","Physical Sciences","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,3,3,4.5,3,4,0,3.25
"N355115401262",2016,"Literature","Arts & Humanities","ARTS AND HUMANITIES",5,5,4,4.5,3.5,5.5,4.5,4.5
"N381115405262",2016,"Mathematical, Computational and Statistical Sciences","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4,4.5,4,3.5,4.5,4.5,4
"N324116421212",2016,"Life Sciences","Arts & Humanities","LIFE SCIENCES",4.5,4.5,4.5,4.5,3.5,5.5,4,4.25
"N347115402262",2016,"Philosophy","Philosophy, Politics and Economics","ANTHROPOLOGY",4,4,5,4,4,4,3.5,4.5
"N300116408220",2016,"Global Affairs","History","PHILOSOPHY, POLITICS AND ECONOMICS",3,4.5,3,4.5,4,4.5,3,3.5
"N391116401207",2016,"Arts & Humanities","Literature","ECONOMICS",4,5,4.5,5,3.5,5,3.5,4
"N374115402262",2016,"Urban Studies","Life Sciences","ARTS AND HUMANITIES",4.5,4.5,4,3.5,5,5,4,4.75
"N385115424262",2016,"Economics","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,4,4.5,4,4.5,4.5,4.5,4.75
"N347115405224",2016,"Arts & Humanities","Environmental Studies","PHILOSOPHY, POLITICS AND ECONOMICS",4,3,2.5,4.5,2.5,4,4,3
"N375115425262",2016,"Philosophy, Politics and Economics","Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,5,5,4.5,5.5,4.5,4.5,4.25
"N348115401224",2016,"Economics","Physical Sciences","ENVIRONMENTAL STUDIES",4,4,5,5,5,4.5,4.5,4.5
"N337115408224",2016,"Economics","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4,5,4.5,5,5,5.5,5.5,5.5
"N303115421225",2016,"Economics","Global Affairs","ECONOMICS",5,4.5,4.5,4.5,5.5,4.5,4.5,5.5
"N336115405262",2016,"Psychology","Literature","PSYCHOLOGY",5,4,5.5,4.5,5.5,4.5,4.5,4.75
"N350115414225",2016,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics","ECONOMICS",5.5,5.5,4.5,5,5,5.5,5.5,5.25
"N359115423262",2016,"Literature","Philosophy, Politics and Economics","DDP LAW",3.5,5,5.5,5,4.5,4.5,4.5,3.25
"N392115405224",2016,"Economics","Undecided","URBAN STUDIES",4.5,4,3,4,4.5,4,3.5,4.25
"N319115405225",2016,"Mathematical, Computational and Statistical Sciences","Economics","ECONOMICS",4.5,3.5,5.5,5,4,4.5,4.5,4.75
"N395115425224",2016,"Mathematical, Computational and Statistical Sciences","Physical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5.5,5,4.5,5,5.5,5.5,5,4.75
"N343115410262",2016,"Economics","Global Affairs","DDP LAW",4.5,4.5,4.5,4,4,4.5,4,4.25
"N389115421224",2016,"Mathematical, Computational and Statistical Sciences","Physical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,4.5,5,4.5,3.5,4.5,6,4.5
"N309116401208",2016,"Environmental Studies","Philosophy, Politics and Economics","ENVIRONMENTAL STUDIES",3.5,4,2.5,4.5,3.5,4,3.5,4
"N378115424224",2016,"Global Affairs","Philosophy, Politics and Economics","GLOBAL AFFAIRS",4,4.5,4.5,5,4,5.5,4,4.75
"N339115402225",2016,"Life Sciences","Physical Sciences","ECONOMICS",4,4,3.5,4.5,4,5.5,4,4
"N330115421225",2016,"Physical Sciences","Physical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",4.5,5,3.5,5,4.5,4,4,4.5
"N342116413215",2016,"Environmental Studies","Urban Studies","ARTS AND HUMANITIES",5,4.5,4.5,4,4.5,4.5,4,4.5
"N373115408224",2016,"Physical Sciences","Arts & Humanities","PHYSICAL SCIENCES",5,4,5,4,5.5,4.5,5,4.5
"N388115418262",2016,"Psychology","Economics","PSYCHOLOGY",4.5,5.5,5.5,5.5,4.5,5.5,4.5,5.25
"N398115421224",2016,"Arts & Humanities","History","DDP LAW",5,4.5,5.5,5.5,5,5.5,5,5
"N342115412262",2016,"Mathematical, Computational and Statistical Sciences","Psychology","URBAN STUDIES",5,4.5,4,4.5,4.5,5,5.5,5.25
"N363115405262",2016,"Psychology","Anthropology","PSYCHOLOGY",4.5,5,4.5,5,4,5.5,4.5,4.5
"N312115421225",2016,"Psychology","Literature","ARTS AND HUMANITIES",4,4,3.5,3.5,4.5,4.5,2.5,4
"N377115423262",2016,"Philosophy, Politics and Economics","Global Affairs","GLOBAL AFFAIRS",4.5,4,4.5,4,5,4.5,4,4.5
"N371115408262",2016,"Philosophy, Politics and Economics","Undecided","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4,4,4.5,4,5,4,4.75
"N390115410224",2016,"Philosophy","Global Affairs","DDP LAW",5,4,4,4.5,4,5,4,4.25
"N332115414225",2016,"Literature","Life Sciences","PHILOSOPHY, POLITICS AND ECONOMICS",5.5,5,5.5,5.5,4.5,5,5.5,5
"N352115410262",2016,"Philosophy, Politics and Economics","Arts & Humanities","PHILOSOPHY",3.5,4,4.5,5,2.5,4.5,3.5,4.75
"N356115402262",2016,"Philosophy, Politics and Economics","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,5,5.5,4.5,5.5,5.5,5,4.75
"N370115413224",2016,"Physical Sciences","Mathematical, Computational and Statistical Sciences","ECONOMICS",5.5,4,5.5,4.5,5,4.5,4.5,5.25
"N311115423225",2016,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,4.5,4.5,4.5,5.5,4.5,4.75
"N396115424224",2016,"Literature","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4,4.5,3,4,5,5,4,3.25
"N300115425225",2016,"Philosophy, Politics and Economics","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",4,4.5,0,3.5,4,4.5,3,3.5
"N324115413225",2016,"Life Sciences","Economics","LIFE SCIENCES",5,5,5.5,5,5.5,5,5.5,5
"N345115408225",2016,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4,4.5,4,5,5.5,4.5,4.5
"N399116413207",2016,"Global Affairs","Arts & Humanities","LITERATURE",4.5,4,4.5,4.5,5,4.5,3,4.75
"N369115421262",2016,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences","URBAN STUDIES",5.5,4.5,5.5,5.5,5,5.5,5.5,5
"N305116412208",2016,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,5.5,4.5,5,4.5,4.5,4.5,4.75
"N372115410224",2016,"Mathematical, Computational and Statistical Sciences","Psychology","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",5,4.5,4.5,5.5,5,4.5,5,4.75
"N341115414225",2016,"Philosophy, Politics and Economics","Philosophy","ECONOMICS",3.5,4,4,4,4.5,3.5,4,4.25
"N353115408262",2016,"Psychology","Physical Sciences","ENVIRONMENTAL STUDIES",5,4.5,5.5,4.5,5.5,4.5,5,5
"N356110408273",2016,"Physical Sciences","Environmental Studies","PHYSICAL SCIENCES",3.5,4,5.5,5,5.5,5,5,5
"N350115413262",2016,"Literature","Anthropology","LITERATURE",5.5,5.5,4.5,5,5.5,5.5,4.5,4.5
"N336116408215",2016,"Economics","Anthropology","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,4.5,5,4,5,4,4.5
"N349115425225",2016,"Life Sciences","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",3.5,4,4,4.5,3.5,4.5,4,4.25
"N394115402224",2016,"Environmental Studies","Undecided","ENVIRONMENTAL STUDIES",3.5,3.5,3.5,4,4,4,3.5,3.5
"N308115410225",2016,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",4.5,4.5,5,5,5,4,4.5,4.5
